                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2943,                 4.0323,                 1.3712,                0.00673,                      1,                0.25922,                0.20911,                0.70079,                 3.6123,                0.91453,                 0.0784,                 0.0024,                 0.0024
                      1,                 1.1526,                 3.9432,                 1.2438,                0.00764,                      1,                0.21941,                0.16915,                0.72875,                 3.6263,                0.96248,               0.055884,              0.0048838,              0.0048838
                      2,                 1.1215,                 3.8003,                 1.2051,                0.00909,                      1,                0.29031,                0.21571,                0.66707,                 3.5329,                0.91142,               0.033351,              0.0073512,              0.0073512
                      3,                 1.1373,                 3.6428,                 1.2172,                0.76908,                0.11429,                 0.2856,                0.19686,                0.86894,                 3.2338,                 1.0575,               0.010802,               0.009802,               0.009802
                      4,                 1.2598,                 3.5018,                 1.2288,                0.67193,                0.12388,                0.17537,                0.12325,                 1.0981,                 3.6424,                 1.2109,               0.009868,               0.009868,               0.009868
                      5,                 1.2664,                 3.3559,                 1.2783,                0.32119,                0.29286,                0.25093,                0.18376,                 0.9253,                  3.356,                 1.1035,               0.009868,               0.009868,               0.009868
                      6,                 1.2922,                 3.2229,                  1.277,                0.14847,                0.41614,                0.21777,                0.15385,                0.99837,                 3.2756,                 1.2946,               0.009835,               0.009835,               0.009835
                      7,                 1.3381,                 3.0784,                 1.3028,                 0.2596,                0.60714,                0.18291,                0.13643,                 1.0072,                 4.0035,                  1.318,               0.009802,               0.009802,               0.009802
                      8,                 1.3615,                 2.8814,                 1.3252,                0.15113,                 0.5409,                0.26121,                0.17945,                0.99067,                 2.8632,                 1.1939,               0.009769,               0.009769,               0.009769
                      9,                  1.378,                 2.8601,                 1.3281,                0.27362,                0.31667,                 0.2269,                0.14853,                 1.2101,                 2.9431,                  1.348,               0.009736,               0.009736,               0.009736
                     10,                 1.3546,                 2.8672,                 1.3412,                0.10566,                0.19286,                0.19382,                0.13424,                  1.073,                 2.8994,                 1.2602,               0.009703,               0.009703,               0.009703
                     11,                 1.3283,                 2.7791,                  1.276,                0.09098,                0.16429,                0.18548,                0.12594,                0.99856,                 3.0461,                 1.2265,                0.00967,                0.00967,                0.00967
                     12,                 1.2903,                 2.6888,                 1.2668,                0.31617,                0.30758,                0.21836,                0.15042,                  1.039,                 2.9784,                 1.2712,               0.009637,               0.009637,               0.009637
                     13,                  1.256,                 2.5506,                 1.2315,                 0.3857,                0.20211,                0.29832,                0.19416,                 1.0042,                 3.1848,                 1.3731,               0.009604,               0.009604,               0.009604
                     14,                 1.3518,                 2.5297,                 1.3178,                0.14502,                0.34087,                0.31841,                0.19042,                 1.0449,                 3.0822,                 1.3108,               0.009571,               0.009571,               0.009571
